flow,fail
0.861209,0
0.775261,0
0.671168,0
0.723621,0
0.758816,0
0.835876,0
0.856602,0
0.797128,0
0.788096,0
0.712254,0
0.747041,0
0.864588,0
0.928911,0.0433665
0.786371,0
0.901335,0.00200304
0.792958,0
0.850083,0
0.903784,0.00567553
0.830921,0
0.787746,0
0.710504,0
0.715291,0
0.771554,0
0.88547,0
0.763471,0
0.96385,0.0957753
0.740425,0
0.738995,0
0.86999,0
0.82949,0
0.751797,0
0.764895,0
0.734776,0
0.749791,0
0.837022,0
0.820421,0
0.714189,0
0.798491,0
0.72529,0
0.868759,0
0.907982,0.0119733
0.842034,0
0.765978,0
0.917686,0.0265291
0.654615,0
0.891345,0
0.790886,0
0.842906,0
0.771266,0
0.832198,0
0.778855,0
0.747326,0
0.804529,0
0.877808,0
0.754763,0
0.76841,0
0.978779,0.118169
0.76221,0
0.818743,0
0.787948,0
0.843032,0
0.786465,0
0.874574,0
0.719817,0
0.766768,0
0.894473,0
0.695669,0
0.831589,0
0.8991,0
0.795905,0
0.885068,0
0.760036,0
0.808358,0
0.819217,0
0.746148,0
0.787215,0
0.825233,0
0.813053,0
0.786648,0
0.749501,0
0.778501,0
0.808666,0
0.915157,0.0227356
0.811433,0
0.737038,0
0.908923,0.0133844
0.645117,0
0.873083,0
0.871919,0
0.748681,0
0.76425,0
0.637998,0
0.957091,0.0856361
0.751394,0
0.910576,0.0158641
0.911949,0.0179239
0.84092,0
0.842341,0
0.83121,0
0.790575,0
0.637066,0
0.832175,0
0.822517,0
0.603629,0
0.927716,0.0415746
0.774112,0
0.815521,0
0.755541,0
0.723479,0
0.796994,0
0.8006,0
0.77833,0
0.751546,0
0.837532,0
0.870799,0
0.685777,0
0.92577,0.0386547
0.709042,0
0.890469,0
0.893532,0
0.877212,0
0.761154,0
0.865957,0
0.753827,0
0.819026,0
0.895601,0
0.756242,0
0.797304,0
0.814565,0
0.7465,0
0.717822,0
0.765878,0
0.847917,0
0.842528,0
0.678192,0
0.862752,0
0.873054,0
0.863133,0
0.876195,0
0.761004,0
0.843675,0
0.791031,0
0.737424,0
0.875499,0
0.866222,0
0.650977,0
0.827237,0
0.802864,0
0.706471,0
0.902697,0.00404605
0.766415,0
0.776273,0
0.805326,0
0.853959,0
0.734657,0
0.858902,0
0.822072,0
0.859408,0
0.840634,0
0.83007,0
0.797607,0
0.877486,0
0.77041,0
0.769666,0
0.802044,0
0.868753,0
0.836134,0
0.736067,0
0.72899,0
0.815892,0
0.834437,0
0.750678,0
0.805486,0
0.710198,0
0.889794,0
0.835836,0
0.783524,0
0.627767,0
0.740724,0
0.843063,0
0.735804,0
