hour,2006,2007,2008,2009,2010,2011,2012,2013
1,188.85,158.91,177.66,93.05,91.19,93.77,185.67,62.9
2,186.78,158.51,173.44,88.42,88.49,92.33,158.47,58.01
3,180.85,152.56,171.87,84.21,87.73,88.46,137.85,57.47
4,179.15,150.18,171.23,82.28,86.85,88.24,126.25,56.86
5,177.19,149.94,170.2,80.43,86.77,87.76,120.67,56.78
6,172.47,148.04,167.52,80.19,86.01,87.17,118.13,54.64
7,161.42,146.31,161.97,79.62,83.7,85.1,92.89,53.77
8,158.28,144.36,161.29,76.24,83.43,84.97,91.57,53.68
9,156.32,143.46,160.81,75.93,83.19,83.62,90.96,53.4
10,155.4,141.08,159.82,75.44,82.95,82.46,90.32,52.98
11,153.95,140.48,159.43,73.95,82.07,82.26,88.43,52.52
12,153.44,140.47,158.77,73.92,81.79,81.57,85.08,52.52
13,153.06,140.21,157.06,73.0,81.13,81.0,84.94,52.4
14,149.96,138.51,156.91,72.37,81.05,80.55,84.58,51.99
15,148.83,138.2,156.11,72.31,80.37,80.1,84.18,51.75
16,146.76,137.51,155.66,71.89,80.35,80.05,79.91,51.39
17,145.44,134.34,154.97,71.43,80.2,79.78,78.68,51.38
18,143.28,134.29,154.89,70.61,80.2,79.06,78.02,51.22
19,143.13,132.91,152.95,70.56,80.15,78.46,75.82,50.89
20,141.63,132.76,152.88,70.54,79.85,77.92,73.8,50.81
21,141.17,132.47,150.19,70.25,79.69,76.65,71.66,50.41
22,140.15,132.32,150.16,69.89,79.53,75.62,70.94,50.22
23,134.68,131.36,149.4,69.81,79.45,75.25,70.48,50.13
24,134.66,131.3,149.34,69.81,79.23,75.05,69.99,50.0
25,134.12,131.15,148.55,69.8,79.2,74.82,69.75,49.93
26,133.51,131.0,148.49,69.54,79.19,74.76,69.72,49.91
27,132.36,130.76,146.14,69.13,79.13,74.4,69.51,49.81
28,130.28,130.68,146.01,69.08,79.03,74.38,68.05,49.67
29,126.91,130.48,145.55,68.98,78.88,74.29,67.52,49.52
30,126.17,129.92,143.41,68.97,78.78,74.22,66.91,49.5
31,125.4,129.88,142.35,68.96,78.74,74.1,66.77,49.49
32,123.26,129.81,142.02,68.84,77.92,73.98,66.67,49.48
33,122.87,129.73,141.5,68.72,77.76,73.35,66.58,49.45
34,122.66,129.64,141.49,68.32,77.7,73.07,65.28,49.34
35,122.36,129.29,141.48,68.23,77.13,73.01,65.13,49.2
36,122.28,128.53,141.28,67.79,76.83,72.92,65.13,49.08
37,121.44,128.46,141.14,67.05,76.69,72.75,64.61,48.86
38,120.91,128.06,138.57,66.96,76.49,72.01,64.36,48.86
39,119.5,127.48,136.74,66.77,76.19,71.99,63.78,48.78
40,119.44,126.67,136.7,66.44,76.09,71.93,63.39,48.76
41,118.87,126.58,136.16,66.01,76.03,71.73,63.38,48.69
42,118.77,126.24,135.84,65.37,75.47,70.53,62.23,48.63
43,116.8,126.14,135.75,65.32,75.36,70.39,61.87,48.55
44,116.07,126.04,135.75,65.29,75.24,70.37,61.87,48.33
45,115.42,125.3,135.61,64.96,74.63,69.12,61.58,48.32
46,114.06,125.29,135.05,64.84,74.46,68.88,61.0,48.18
47,113.86,125.21,134.53,64.61,74.4,68.8,60.96,48.18
48,113.8,124.89,134.21,64.54,73.97,68.45,60.78,48.06
49,113.59,124.64,133.49,64.29,73.57,67.81,60.14,48.0
50,113.18,124.61,132.73,64.05,73.36,67.42,59.64,47.97
51,112.82,124.57,132.68,63.82,72.83,67.06,59.2,47.87
52,112.75,124.54,132.48,63.67,72.27,66.78,58.77,47.78
53,112.28,124.46,131.58,63.17,72.24,66.77,58.51,47.63
54,111.98,124.09,131.4,63.01,72.23,66.74,58.4,47.55
55,111.82,123.76,130.78,62.88,72.16,66.58,58.25,47.5
56,111.36,123.42,130.26,62.73,72.07,66.25,58.17,47.45
57,111.08,123.42,130.14,62.24,71.96,65.86,57.94,47.4
58,110.64,122.83,129.59,62.16,71.63,65.13,57.9,47.37
59,110.43,122.72,129.03,61.72,71.54,64.95,57.78,47.34
60,110.19,122.49,128.21,61.52,71.49,64.92,57.66,47.31
61,110.13,122.47,128.16,61.51,71.28,64.89,57.63,47.29
62,109.9,122.3,128.09,61.5,71.27,64.63,57.58,47.23
63,109.89,122.3,128.09,61.38,71.22,64.58,57.44,47.17
64,109.33,122.23,128.06,61.11,70.98,64.57,57.23,47.14
65,108.78,121.87,127.91,61.1,70.95,64.44,57.04,47.12
66,108.65,121.81,127.85,61.08,70.88,64.12,56.56,47.08
67,108.58,121.11,127.81,61.01,70.58,64.11,56.53,47.06
68,108.39,120.81,127.42,60.86,70.43,64.1,56.41,47.04
69,108.09,120.55,127.09,60.65,70.29,64.07,56.21,47.04
70,108.08,120.49,126.87,60.53,69.99,64.03,56.03,47.04
71,108.07,120.48,126.51,60.49,69.6,63.99,56.01,47.0
72,108.05,120.24,126.22,60.42,69.59,63.96,55.95,47.0
73,107.79,120.21,126.18,60.41,69.0,63.65,55.8,46.99
74,107.61,120.09,125.83,60.4,68.96,63.61,55.69,46.99
75,107.52,119.95,124.39,60.3,68.93,63.59,55.65,46.98
76,107.01,119.69,124.1,60.18,68.9,63.48,55.53,46.77
77,106.59,119.45,123.98,60.0,68.79,63.22,55.53,46.75
78,106.59,119.4,123.81,59.98,68.73,63.13,55.46,46.71
79,106.47,119.38,123.53,59.93,68.69,63.11,55.45,46.7
80,106.45,119.29,123.52,59.73,68.6,62.93,55.3,46.69
81,105.33,119.25,123.44,59.49,68.29,62.89,55.07,46.62
82,105.13,119.05,123.22,59.39,68.24,61.99,55.04,46.61
83,105.1,119.01,122.82,59.32,68.0,61.84,55.03,46.38
84,104.78,118.65,122.64,59.27,67.92,61.74,55.0,46.34
85,104.46,118.51,122.24,59.2,67.82,61.66,54.98,46.33
86,104.13,118.46,122.05,59.2,67.8,61.6,54.94,46.28
87,103.66,118.46,121.68,58.94,67.78,61.51,54.66,46.21
88,103.57,118.13,121.48,58.93,67.69,61.47,54.54,46.17
89,103.25,118.1,121.47,58.91,67.68,61.45,53.87,46.08
90,102.64,117.96,121.26,58.9,67.65,61.31,53.87,46.02
91,102.35,117.88,121.23,58.87,67.59,61.15,53.78,45.97
92,102.11,117.54,120.93,58.84,67.4,60.94,53.28,45.96
93,101.96,117.51,120.9,58.76,67.37,60.73,53.11,45.88
94,101.88,117.36,120.7,58.74,67.29,60.47,52.89,45.76
95,101.82,117.35,120.67,58.55,67.26,60.23,52.84,45.75
96,101.75,117.29,120.37,58.54,67.1,60.06,52.83,45.74
97,101.68,116.89,120.33,58.49,67.1,60.04,52.74,45.71
98,101.58,116.74,120.28,58.47,67.04,60.02,52.65,45.64
99,101.46,116.67,120.25,58.33,67.02,60.01,52.5,45.64
100,101.22,116.65,120.08,58.3,66.86,59.83,52.43,45.56
101,101.08,116.44,120.07,58.14,66.79,59.38,52.41,45.51
102,101.08,116.15,120.02,58.01,66.63,59.33,52.36,45.39
103,101.06,116.11,119.82,57.99,66.39,59.3,52.31,45.39
104,101.0,115.99,119.66,57.85,66.02,59.23,52.22,45.3
105,100.84,115.86,119.63,57.76,65.89,59.19,52.05,45.24
106,100.71,115.73,119.54,57.75,65.85,59.16,52.03,45.24
107,100.55,115.55,119.37,57.69,65.65,58.5,51.85,45.22
108,100.38,115.55,119.18,57.66,65.6,58.47,51.82,45.22
109,100.28,115.52,119.07,57.64,65.39,58.47,51.81,45.18
110,100.27,115.4,118.99,57.53,65.36,58.35,51.55,45.15
111,100.0,114.84,118.88,57.42,65.34,58.35,51.49,45.09
112,99.69,114.61,118.74,57.4,65.06,58.33,51.44,45.09
113,99.6,114.41,118.67,57.25,64.97,58.3,51.42,45.04
114,99.33,114.35,118.52,57.21,64.92,58.24,51.27,45.03
115,99.29,114.35,118.34,57.18,64.83,58.15,51.17,45.03
116,99.28,113.84,118.22,57.17,64.83,58.1,51.1,45.01
117,99.22,113.83,117.92,56.99,64.82,58.08,50.95,45.0
118,99.15,113.8,117.86,56.97,64.75,58.07,50.89,44.99
119,99.04,113.79,117.7,56.89,64.72,58.06,50.87,44.96
120,98.98,113.66,117.53,56.88,64.67,57.88,50.83,44.91
121,98.96,113.66,117.51,56.82,64.65,57.86,50.78,44.86
