ID,Name,Frame,Ex,Var,Min,Max,Dif,Neg
1,AEC,DA,36.3401232979,205.748935756,20.9426270342,58.5847060777,37.6420790435,0.0254101627366
2,AECI,DA,34.0173392007,206.961850298,18.6047260046,56.0105878446,37.4058618399,0.032318166722
3,AECI.ALTW,DA,32.845203565,239.207687398,15.8127923429,55.5443279234,39.7315355805,0.19721181856
4,AECI.AMMO,DA,33.521520203,191.315517513,19.1669443407,54.2820545387,35.115110198,0.0328614120284
5,AECI.APM_1.AZ,DA,30.4579444575,147.322407478,18.2924612494,47.761493659,29.4690324096,0.0411366838891
6,AECI.APM_2.AZ,DA,30.9576080319,174.601000489,17.8617660874,49.4830295914,31.621263504,0.0454250821982
7,AECI.CWLD,DA,34.017935784,225.169489637,18.7732947977,56.2465426301,37.4732478324,0.034938583815
8,AEP,DA,38.1620980018,211.314633906,22.2519329127,60.5242278313,38.2722949186,0.00354699435404
9,ALTE.ALTE,DA,37.3251634285,268.98034913,18.0619063434,62.9364928595,44.8745865161,0.178927266689
10,ALTE.AZ,DA,32.2586728902,183.488206998,16.3365241898,52.4204133396,36.0838891498,0.251155472053
11,ALTE.CC.RIVS1,DA,36.624524798,268.771004712,17.4258020591,62.7783427433,45.3525406842,0.447940883427
12,ALTE.CC.RIVS2,DA,36.624524798,268.771004712,17.4258020591,62.7783427433,45.3525406842,0.447940883427
13,ALTE.CEDARDGE,DA,29.8824972165,109.022380846,16.7798201439,46.76663926,29.9868191161,0.216017471737
14,ALTE.COLUMBAL1,DA,35.4339402745,236.207039269,17.3356459648,59.4993955497,42.1637495849,0.242294918632
15,ALTE.COLUMBAL2,DA,35.434135946,236.229501181,17.3346595815,59.501428097,42.1667685154,0.242205247426
16,ALTE.EDEN0MONT,DA,36.893859183,305.106355314,16.5788874128,63.9161275324,47.3372401196,0.309432082365
17,ALTE.EDGG3G3,DA,35.2629144526,220.263321905,18.0508269678,58.5402457655,40.4894187977,0.193859182996
18,ALTE.EDGG4G4,DA,35.2431187036,220.305690982,18.057675191,58.506652275,40.448977084,0.196868150116
19,ALTE.EDGG5G5,DA,35.2525945146,220.473566285,18.0665659249,58.5222318167,40.4556658917,0.196688807705
20,ALTE.KILBOUNIL,DA,37.135740341,294.723843471,17.7357754899,63.3470840252,45.6113085354,0.177137163733
21,ALTE.NEDG1G1,DA,36.1705218366,323.797806983,15.8029292594,63.7667220193,47.9637927599,0.361056127532
22,ALTE.NEDG2G2,DA,36.1383013672,323.317660918,15.7897110594,63.7098472268,47.9201361674,0.362387910993
23,ALTE.NEENAHG1,DA,30.4930737434,117.875644459,17.2529081633,47.7913095238,30.5384013605,0.0618990929705
24,ALTE.NEENAHG2,DA,30.4934554516,117.880062897,17.2529421769,47.7913151927,30.5383730159,0.0618990929705
25,ALTE.PAR_1.AZ,DA,31.9159848129,180.451061366,16.2794316581,51.8555331141,35.5761014561,0.285584781588
