flow,fail
1.24156,1
1.19942,0.449133
1.2107,0.466055
1.07874,0.268106
1.11831,0.327472
1.07418,0.261264
1.23384,1
1.37921,1
1.24237,1
1.24956,1
0.951758,0.0776366
1.26959,1
1.14752,0.371283
1.23894,1
1.28135,1
1.14059,0.360883
1.18435,0.426532
1.24273,1
1.22273,0.48409
1.04286,0.214287
1.30739,1
1.17553,0.4133
1.28805,1
1.19591,0.44386
1.1147,0.322055
1.07644,0.264656
1.00168,0.152513
1.14775,0.371623
1.16885,0.403282
1.27535,1
1.03091,0.196371
1.18103,0.421552
1.24705,1
1.17684,0.415264
1.3453,1
1.14711,0.370668
1.05439,0.231582
1.32609,1
1.06388,0.24582
1.11318,0.319765
1.25637,1
1.13681,0.355221
1.30016,1
1.28531,1
1.27355,1
1.11618,0.324273
1.27899,1
1.08996,0.284938
1.27841,1
1.13202,0.348034
0.912019,0.0180288
1.31154,1
1.2083,0.462446
1.27174,1
1.25806,1
1.2521,1
1.36115,1
1.24164,1
1.19691,0.44536
1.26726,1
1.1649,0.397344
1.16836,0.402544
1.29998,1
1.28806,1
1.00263,0.153952
1.20887,0.463298
1.05328,0.229916
1.19044,0.435659
1.16367,0.395502
1.18577,0.428654
1.10641,0.309613
1.05079,0.226181
0.951823,0.0777344
0.991632,0.137449
1.16023,0.390352
1.16167,0.392508
1.44615,1
1.06507,0.247604
1.34491,1
1.25086,1
1.18229,0.42344
1.24443,1
1.28515,1
1.23036,0.495533
1.24966,1
1.02824,0.192367
1.21773,0.476589
1.15413,0.381195
1.30581,1
1.13596,0.353935
1.20344,0.45516
1.15919,0.388779
1.30557,1
1.26471,1
1.09397,0.29096
1.08018,0.270277
1.2549,1
1.22976,0.494639
1.15773,0.38659
1.3256,1
1.22594,0.488908
1.31557,1
1.20115,0.451718
1.26605,1
1.34865,1
1.24604,1
1.26821,1
1.31211,1
1.17358,0.410368
1.13663,0.354938
1.34081,1
1.08521,0.277822
1.25191,1
1.24936,1
1.28209,1
1.18849,0.432728
1.28524,1
1.22467,0.487
1.26283,1
1.20414,0.456213
1.17074,0.406107
1.09542,0.293123
1.15515,0.382725
1.32785,1
1.21271,0.469064
1.22723,0.490839
1.24397,1
1.1345,0.351743
0.974492,0.111738
1.23721,1
1.11854,0.327814
1.27645,1
1.34143,1
1.24068,1
1.17941,0.419121
1.32303,1
1.16423,0.396338
1.15121,0.37682
1.22288,0.484321
1.02927,0.193911
1.31708,1
1.20152,0.452279
1.23403,1
1.19254,0.438816
1.27064,1
1.3637,1
0.988868,0.133303
1.35702,1
1.13941,0.359119
1.11052,0.315784
1.1182,0.327296
1.1851,0.427653
1.24642,1
1.17403,0.411051
1.15512,0.382684
1.18514,0.427716
1.15098,0.376477
1.31464,1
1.06588,0.248815
1.0676,0.251402
1.41444,1
1.14968,0.374517
1.28571,1
1.06966,0.254487
1.24003,1
1.17342,0.410131
1.1468,0.370206
1.11921,0.328813
1.21291,0.469363
1.19987,0.449812
1.26481,1
1.20322,0.454829
1.16079,0.391182
1.29509,1
1.17681,0.415208
1.20023,0.450346
1.11891,0.328363
1.19736,0.446038
1.15358,0.380376
1.24869,1
1.14333,0.364996
1.20369,0.455531
1.26778,1
1.11455,0.321829
1.1345,0.351751
1.04649,0.219729
1.23466,1
1.30045,1
1.14667,0.369999
1.05537,0.233059
1.21732,0.475976
1.28387,1
1.21312,0.469681
1.13666,0.354984
1.38603,1
1.23001,0.495021
1.05454,0.231814
1.4982,1
1.20083,0.451243
1.25018,1
1.16082,0.391229
1.21907,0.478598
0.976,0.114
1.25838,1
1.08193,0.272895
1.39299,1
1.21476,0.472139
1.31095,1
1.07372,0.260573
1.04947,0.22421
1.09287,0.289308
1.15093,0.376401
1.13593,0.353895
1.20109,0.451642
1.20215,0.453228
1.2672,1
1.03305,0.199579
1.29305,1
1.19064,0.435967
1.2403,1
1.24091,1
1.37817,1
1.06266,0.243996
1.20496,0.457433
1.10756,0.311347
1.31163,1
1.13493,0.352394
1.12138,0.332076
1.21441,0.471608
1.2181,0.477145
1.21503,0.472544
1.08687,0.280302
1.40321,1
1.21672,0.475074
1.22368,0.485513
1.14282,0.364225
1.25057,1
1.1675,0.401251
1.06606,0.249085
1.09734,0.296004
1.15528,0.382917
1.42045,1
1.15473,0.382096
1.22986,0.494797
1.05859,0.237889
1.35808,1
1.23488,1
1.15426,0.381388
1.07849,0.26774
1.21803,0.47705
1.30331,1
1.29093,1
1.19596,0.443943
1.37529,1
1.26687,1
1.30943,1
1.19294,0.439404
1.05832,0.237477
1.24172,1
1.07428,0.261427
1.29709,1
1.03517,0.202751
1.22905,0.493575
1.21677,0.475158
1.26485,1
1.13781,0.356722
1.02862,0.192936
1.19508,0.442619
1.22663,0.489951
1.15549,0.38324
1.17781,0.416712
1.11235,0.318527
1.33562,1
1.37891,1
1.24966,1
1.16543,0.39814
1.3863,1
1.24396,1
1.09902,0.298531
1.05416,0.23124
1.18042,0.420635
1.1005,0.300752
1.31673,1
1.24343,1
1.12231,0.333466
1.21946,0.479189
1.11121,0.316808
1.16804,0.402065
1.2391,1
1.18207,0.423103
1.13978,0.359663
1.29748,1
1.43901,1
1.06151,0.24226
1.22123,0.481838
1.19565,0.443475
1.0772,0.265798
1.23174,0.497606
1.12352,0.335275
1.0923,0.288455
1.06934,0.254003
1.27582,1
1.20396,0.45594
0.909342,0.0140125
1.08795,0.281919
1.04671,0.22007
1.19085,0.43628
1.2286,0.492898
1.26319,1
1.17786,0.416793
1.24895,1
1.0705,0.255749
1.39847,1
1.07019,0.255286
1.03618,0.20427
1.14501,0.36751
1.21212,0.468184
1.25307,1
1.22556,0.488341
1.29745,1
1.21205,0.46807
1.0546,0.231904
1.1551,0.382655
1.24504,1
1.2577,1
1.06686,0.25029
1.08382,0.275728
1.33024,1
1.34196,1
1.21762,0.47643
1.1981,0.447157
1.15334,0.380011
1.31616,1
1.08062,0.270937
1.19547,0.443199
1.19337,0.440061
1.20677,0.460158
1.19309,0.439642
1.26673,1
1.223,0.484499
1.28221,1
1.07461,0.261918
1.20215,0.45322
1.35592,1
1.20492,0.457379
1.07298,0.25947
1.1024,0.303604
1.24459,1
1.19763,0.446448
1.18917,0.433749
1.03394,0.200917
1.07032,0.255473
1.07373,0.260595
1.11083,0.316247
1.10965,0.314472
1.32482,1
1.148,0.371998
1.36509,1
1.22484,0.487267
1.20409,0.456137
1.03579,0.20368
1.14124,0.361853
1.19101,0.436512
1.17926,0.418885
1.2023,0.453445
1.19557,0.443348
1.19743,0.446148
1.10687,0.310302
1.06232,0.24348
1.34816,1
1.28995,1
1.12842,0.342637
1.14315,0.364718
1.2503,1
1.09346,0.290195
1.18547,0.428207
1.26145,1
1.08688,0.280313
1.23927,1
1.02342,0.185123
1.1761,0.414149
1.11026,0.315397
1.12478,0.337168
1.08788,0.281819
1.29161,1
1.18555,0.428329
1.18842,0.432625
1.01222,0.168337
1.30786,1
1.10283,0.304246
1.25613,1
1.20515,0.457718
1.29941,1
1.17082,0.406231
0.975527,0.11329
1.24024,1
1.29115,1
1.29083,1
1.27189,1
1.33478,1
1.23054,0.495815
1.19924,0.448862
1.22924,0.493866
1.3014,1
1.28225,1
1.12623,0.339345
1.36879,1
1.24997,1
1.2087,0.463043
1.20614,0.459203
1.18892,0.433373
1.2378,1
1.24195,1
1.25086,1
1.2238,0.485701
1.24528,1
1.33257,1
1.22607,0.489105
0.985119,0.127678
1.34207,1
1.28043,1
1.26606,1
1.21988,0.479825
1.19517,0.442749
1.16889,0.403333
1.3705,1
1.11298,0.31947
1.15524,0.382854
1.32647,1
1.25134,1
1.20946,0.464196
1.09372,0.290586
1.17655,0.414831
1.02011,0.180162
1.21502,0.472523
1.16156,0.392333
1.31979,1
1.17733,0.415999
1.14084,0.361254
1.23423,1
1.07778,0.266673
0.971927,0.107891
1.11202,0.31803
1.27527,1
1.16384,0.395753
1.36388,1
1.10984,0.314762
1.23405,1
1.14568,0.368521
1.23894,1
1.073,0.259506
1.32924,1
1.17652,0.414782
1.36735,1
1.14441,0.366616
1.29864,1
1.29999,1
1.25903,1
1.20564,0.458461
1.08056,0.270844
1.24959,1
1.19709,0.445637
1.30341,1
1.19572,0.443587
1.39127,1
0.908511,0.0127663
1.19042,0.435629
1.11854,0.327806
1.2391,1
1.11377,0.320652
1.11845,0.327678
1.31295,1
1.11842,0.32763
1.26324,1
1.27735,1
1.25478,1
1.17534,0.413015
1.09863,0.297946
1.15861,0.387921
1.07874,0.268105
1.25499,1
1.22079,0.481191
1.32433,1
1.36547,1
1.14045,0.36068
1.21782,0.47673
1.29718,1
1.25703,1
1.12192,0.332887
1.15087,0.376299
1.07503,0.262543
1.07257,0.258856
1.13186,0.347793
1.33484,1
1.20994,0.464906
1.38931,1
1.14577,0.36865
1.16431,0.396465
1.15822,0.387326
1.1264,0.339601
1.06093,0.241395
1.20814,0.462206
1.20711,0.460665
1.36487,1
1.19827,0.44741
1.22599,0.488991
1.09695,0.295426
1.27032,1
1.19163,0.437443
1.2842,1
1.27227,1
1.01101,0.166511
1.29054,1
1.32676,1
1.33369,1
1.09435,0.291521
1.27236,1
1.3081,1
1.12804,0.342055
1.09074,0.286112
1.34063,1
1.21652,0.474785
1.2192,0.478804
1.35741,1
1.09618,0.294274
1.16712,0.400682
1.12805,0.342071
1.29344,1
1.15467,0.382011
1.17724,0.415865
1.21226,0.468396
1.29179,1
1.07659,0.264884
1.26312,1
1.1672,0.400801
1.18492,0.427382
1.17283,0.409244
1.07414,0.261211
1.02072,0.181077
0.97821,0.117315
1.22151,0.482266
1.05745,0.236173
1.26266,1
1.38439,1
1.20633,0.459488
1.09775,0.296623
1.24612,1
1.35883,1
1.30735,1
1.0287,0.193052
1.11134,0.317008
1.32973,1
1.36513,1
1.17056,0.405846
1.12634,0.339516
1.10455,0.306818
1.28405,1
1.47774,1
1.23061,0.495909
1.17673,0.415096
1.25454,1
1.19319,0.439787
1.27604,1
1.20963,0.464441
1.06613,0.249199
0.997707,0.146561
1.15917,0.388749
1.26002,1
1.04815,0.22222
1.10849,0.312728
1.3801,1
1.05588,0.233814
1.38072,1
1.28026,1
1.14951,0.374261
1.14488,0.367316
1.17925,0.418869
1.34019,1
1.14723,0.37085
1.10237,0.303557
1.24845,1
1.24228,1
1.1497,0.374548
1.16356,0.395339
1.09311,0.289667
1.00931,0.163963
1.32071,1
1.17844,0.417665
1.3939,1
1.17673,0.415095
1.01551,0.173266
1.19403,0.441039
1.16002,0.39003
1.12788,0.341824
1.25573,1
1.16402,0.396025
1.21377,0.470654
1.3019,1
1.13598,0.35397
1.3092,1
1.31802,1
1.18826,0.432383
1.07226,0.258386
1.16523,0.397838
1.10627,0.309405
1.20576,0.458639
1.31651,1
1.24468,1
1.11458,0.321877
1.09726,0.295889
1.24646,1
1.12178,0.332669
1.08939,0.28408
1.22591,0.488861
1.12686,0.340293
1.30946,1
1.28711,1
1.29592,1
1.3078,1
0.973087,0.109631
1.09569,0.293538
1.40447,1
1.35448,1
1.26704,1
1.30952,1
1.15499,0.382487
1.29641,1
1.11163,0.317451
1.13749,0.356228
1.21925,0.47888
1.21931,0.47897
1.23336,1
1.37077,1
1.11801,0.327021
1.23843,1
1.14123,0.361842
1.28487,1
1.1762,0.414305
1.31431,1
1.17424,0.411354
1.30976,1
1.1138,0.320703
1.2176,0.4764
1.1159,0.323843
1.02252,0.183774
1.10528,0.307914
1.2666,1
1.10505,0.307579
1.14512,0.367679
1.22983,0.494747
1.05924,0.238864
1.10304,0.304557
1.11617,0.32425
1.1907,0.436043
1.04739,0.221087
1.01526,0.172891
1.23362,1
1.44468,1
1.0782,0.267298
1.12322,0.334825
1.05739,0.236087
1.06456,0.246833
1.14538,0.368074
1.31204,1
1.2653,1
1.19388,0.440814
1.17224,0.408356
1.16294,0.394415
1.20842,0.462623
1.25567,1
1.22383,0.485752
1.08633,0.279493
1.27949,1
